name,subunit,color,rb_start,rb_end,pdb_file,em_prefix,start_pdb,end_pdb,offset,rb_trans,rb_rot,pdb_chain,model_chain
MTOR,MTOR,blue,1,2549,/wynton/home/sali/mhancock/mtorc2/data/em/models/mTORC2-Akt_v1113_Dimer.pdb,,1,2549,0,0,0,F,A
RICTOR,RICTOR,green,1,1708,/wynton/home/sali/mhancock/mtorc2/data/em/models/mTORC2-Akt_v1113_Dimer.pdb,,1,1708,0,0,0,H,B
MLST8,MLST8,yellow,1,326,/wynton/home/sali/mhancock/mtorc2/data/em/models/mTORC2-Akt_v1113_Dimer.pdb,,1,326,0,0,0,G,C
MSIN1,MSIN1,red,1,154,/wynton/home/sali/mhancock/mtorc2/data/em/models/mTORC2-Akt_v1113_Dimer.pdb,,1,154,0,0,0,I,D
CRIM,MSIN1,red,155,277,/wynton/home/sali/mhancock/mtorc2/data/em/models/mTORC2-Akt_v1113_Dimer.pdb,/wynton/home/sali/mhancock/mtorc2/data/em/comps/1131/10/CRIM,155,267,0,1,1,I,D
RBD,MSIN1,red,278,382,/wynton/home/sali/mhancock/mtorc2/data/pdb/7lc1.pdb,,278,353,0,5,1,B,D
MSIN1PH,MSIN1,red,383,522,/wynton/home/sali/mhancock/mtorc2/data/pdb/7lc1.pdb,,383,481,0,5,1,B,D
AKT1PH,AKT1,purple,1,143,/wynton/home/sali/mhancock/mtorc2/data/pdb/akt1_af.pdb,,1,123,0,5,1,H,E
KINASEN,AKT1,purple,144,229,/wynton/home/sali/mhancock/mtorc2/data/em/models/mTORC2-Akt_v1113_Dimer.pdb,/wynton/home/sali/mhancock/mtorc2/data/em/comps/1131/10/KINASEN,144,233,0,1,1,J,E
KINASEC,AKT1,purple,234,425,/wynton/home/sali/mhancock/mtorc2/data/em/models/mTORC2-Akt_v1113_Dimer.pdb,/wynton/home/sali/mhancock/mtorc2/data/em/comps/1131/10/KINASEC,234,425,0,1,1,J,E
